"Date","Price","Open","High","Low","Change %"
"Jul 05, 2010","11.195","11.195","11.195","11.195","-0.42%"
"Jul 02, 2010","11.242","11.242","11.242","11.242","0.01%"
"Jul 01, 2010","11.241","11.241","11.241","11.241","-0.25%"
"Jun 28, 2010","11.269","11.269","11.269","11.269","-2.26%"
"Jun 23, 2010","11.529","11.529","11.529","11.529","0.18%"
"Jun 22, 2010","11.508","11.508","11.508","11.508","-0.18%"
"Jun 18, 2010","11.529","11.529","11.529","11.529","0.62%"
"Jun 16, 2010","11.458","11.458","11.458","11.458","-0.22%"
"Jun 14, 2010","11.483","11.483","11.483","11.483","0.00%"
"Jun 11, 2010","11.483","11.483","11.483","11.483","-0.24%"
"Jun 10, 2010","11.511","11.511","11.511","11.511","-0.15%"
"Jun 09, 2010","11.528","11.528","11.528","11.528","0.00%"
"Jun 08, 2010","11.528","11.528","11.528","11.528","-0.90%"
"Jun 07, 2010","11.633","11.633","11.633","11.633","0.01%"
"Jun 04, 2010","11.632","11.632","11.632","11.632","0.62%"
"Jun 03, 2010","11.560","11.560","11.560","11.560","0.00%"
"Jun 02, 2010","11.560","11.560","11.560","11.560","0.00%"
"Jun 01, 2010","11.560","11.560","11.560","11.560","-0.09%"
"May 31, 2010","11.570","11.570","11.570","11.570","0.00%"
"May 28, 2010","11.570","11.570","11.570","11.570","-0.14%"
"May 27, 2010","11.586","11.586","11.586","11.586","-0.63%"
"May 26, 2010","11.659","11.659","11.659","11.659","1.95%"
"May 24, 2010","11.436","11.436","11.436","11.436","-2.51%"
"May 21, 2010","11.731","11.731","11.731","11.731","0.77%"
"May 20, 2010","11.641","11.641","11.641","11.641","-0.60%"
"May 19, 2010","11.711","11.711","11.711","11.711","0.64%"
"May 18, 2010","11.636","11.636","11.636","11.636","0.00%"
"May 17, 2010","11.636","11.636","11.636","11.636","-0.04%"
"May 13, 2010","11.641","11.641","11.641","11.641","0.00%"
"May 12, 2010","11.641","11.641","11.641","11.641","-1.61%"
"May 11, 2010","11.832","11.832","11.832","11.832","0.30%"
"May 10, 2010","11.797","11.797","11.797","11.797","-0.77%"
"May 07, 2010","11.888","11.888","11.888","11.888","-0.09%"
"May 06, 2010","11.899","11.899","11.899","11.899","0.86%"
"Apr 28, 2010","11.797","11.797","11.797","11.797","1.26%"
"Apr 27, 2010","11.650","11.650","11.650","11.650","-2.82%"
"Apr 26, 2010","11.988","11.988","11.988","11.988","0.00%"
"Apr 22, 2010","11.988","11.988","11.988","11.988","2.30%"
"Apr 21, 2010","11.719","11.719","11.719","11.719","-0.59%"
"Apr 20, 2010","11.788","11.788","11.788","11.788","-1.15%"
"Apr 19, 2010","11.925","11.925","11.925","11.925","-0.01%"
"Apr 16, 2010","11.926","11.926","11.926","11.926","1.58%"
"Apr 15, 2010","11.740","11.740","11.740","11.740","0.00%"
"Apr 14, 2010","11.740","11.740","11.740","11.740","-1.24%"
"Apr 13, 2010","11.887","11.887","11.887","11.887","0.00%"
"Apr 12, 2010","11.887","11.887","11.887","11.887","0.04%"
"Apr 08, 2010","11.882","11.882","11.882","11.882","0.00%"
"Apr 07, 2010","11.882","11.882","11.882","11.882","0.00%"
"Apr 06, 2010","11.882","11.882","11.882","11.882","1.18%"
"Apr 05, 2010","11.744","11.744","11.744","11.744","-0.94%"
"Apr 02, 2010","11.855","11.855","11.855","11.855","0.07%"
"Apr 01, 2010","11.847","11.847","11.847","11.847","-0.31%"
"Mar 31, 2010","11.884","11.884","11.884","11.884","-0.14%"
"Mar 30, 2010","11.901","11.901","11.901","11.901","0.26%"
"Mar 26, 2010","11.870","11.870","11.870","11.870","-0.34%"
"Mar 25, 2010","11.911","11.911","11.911","11.911","0.92%"
